ground_truth_claim,generated_claim,meteor_score
"750,000 people attended anti-lockdown rally in London on April 24, 2021","Aotearoa is waking up, slowly but it is happening.",0.042
Australian authorities question safety of AstraZeneca Covid-19 vaccination,A wake up call Papua New Guinea,0.0
Video shows Russian soldiers landing in Ukraine in 2022,Russian military paratroopers landed in Ukraine,0.2299
Philippines lifts coronavirus restrictions on basketball games in November 2020 for entire country,Video shows basketball players being allowed to play in the same barangkay,0.0775
Video shows China has opened an 880-kilometre highway to Pakistan,China has opened 880 km highway linking to Pakistan,0.5682
Video of Hurricane Shaheen in Oman,Video shows Hurricane Shaheen in Dubai,0.625
The Australian publishes apology on Black Lives Matter story,Victorian health authorities confirmed a link between the Melbourne COVID-19 outbreak and the Black Lives Matter protest,0.3827
DC mayor is exempting from COVID-19 self-quarantine Congress members who attended John Lewis funeral,BPR would like to add a clarification to this meme,0.0
Images show colossal ancient tree stumps,The claim: Thousands of years ago there were giant trees of Silicon who were found in different parts of the planet,0.0658
These photos show Russian-made air defence system destroyed in attack on Armenia in 2020.,Video shows Russian fighter jet attacking Armenia,0.1056
"Calgary mayor said Covid-19 is a ""hoax""",California Mayor admits COVID-19 was a hoax,0.2273
US attorney Lin Wood and Trump in Oval Office in April 2021,The claim: President Trump is hanging out and working in the Oval Office,0.3049
World Health Organization publishes text graphic listing top 10 killer foods,The World Health Organization lists top 10 killer foods found in the Philippines,0.7087
Philippine department of health releases guideline on appropriate COVID-19 face shields,The Department of Health has provided the following technical specifications for face shield products,0.4283
Liberal Party of Canada plans to tax capital gains on home sales,A 50% tax on the sale of your home,0.2119
"""World Bank website shows COVID-19 testing kits purchased by countries in 2017 and in 2018""",Video shows Finland exporting COVID-19 test kits from Austria,0.2315
"Fire at Rochester, New York's City Blue Imaging linked to ballot fraud cover-up",City Blue Imaging Services in Rochester NY burned to the ground printed ballots there,0.3842
Thousands of Russian Army soldiers parachute into Ukraine.,Russian military paratroopers landed in Ukraine,0.1149
Photos of 75-year-old American woman,Video shows American woman looking 35,0.3676
"Image shows mismatch between Neil Armstrong's spacesuit and boot print left on the Moon, therefore Moon landing was a hoax","This is Neil Armstrong's astronaut suit, preserved in a museum",0.2124
United States crime statistics in 2015,Video shows Blacks killed by police,0.0
Video of footballer Andre Gomes' ankle being pushed back into place,Everton midfielder Andre Gomes will have surgery on Monday after suffering a horrific ankle injury in Sunday's Premier League match against Tottenham,0.1951
A video shows Ukrainians destroying Russian tanks with Molotov cocktails,Ukrainian citizens destroy 2 Russian tanks in Kiev,0.3221
Dischem pharmacy mocks rival over racism row,The claim: Dis-Chem is a pharmaceutical company,0.0
South Africans can refuse COVID-19 isolation,"This is a warning or rather an advice. If you feel you have Corona symptoms, please do not rush to go to hospital.",0.0
Soweto father who tortured his daughter's rapist,"This Soweto father tracked down the man who raped his 3-year-old daughter,tied him to tree, cut off the rapist'spenis, cooked it, and forced him eat it.",0.3577
Photos of regrowth after Australian bushfires,Australia bushfire is blooming again,0.0847
Sri Lanka's LPL ranked as biggest global sporting event of 2020,Video shows Sri Lankan cricket team,0.0439
Photo shows recent anti-lockdown and anti-vaccination protests organised in France.,French citizens reacted strongly and the hashtag “Gilets Jaunes” has been trending for several hours.,0.0855
Fauci is alone in saying hydroxychloroquine unproven against COVID-19,Video shows hydroxychloroquine in Italy,0.1163
Video shows Kenyan man killing his baby,Kenyan man kills his four-month-old son after doubting his paternity,0.5137
"The Uvalde, Texas, school shooter was a ""transsexual leftist illegal alien named Salvatore Ramos.""",The 18-year-old Salvador Ramos shot up elementary school in Texas,0.1381
Federal Reserve is owned by a small group of banking families,The Federal Reserve Bank and the filthy rich few who control everything in this country,0.2242
Melania Trump's dress featured drawings by child abuse victims,Photo shows Melania Trump wearing a linen dress at the Mount Rushmore ceremony,0.2481
"Time change, full moon and Friday the 13th happening in same week of March 2021",Photo shows lights in the moon,0.1
Paul Pogba quit France's national football team over president's remarks on Islam,Pogba daina bugawa faransa kwallo,0.0382
Biden faked an interaction with reporters,Biden’s hand go through the grey mic,0.0794
Photos show that Muslims vandalise Baba Saheb Ambedkar statue in Delhis Seelampur.,Video of Muslims protesting in Delhi,0.2078
Photo of a jaguar rescued from the 2019 Amazon fire,A rescue picture of one of the animals that threw themselves into the water to save themselves from the Amazon fire,0.5157
This photo shows the aftermath of vaccine trials on Africans,Covid-19 vaccines have been tested on Africans,0.3866
Novel coronavirus exposure at a doctor's office in this Australian town,This video shows an appointment at Aberglasslyn Doctors for my 3 month old son,0.123
90 percent of plastic in the world's oceans comes from ten rivers,"The claim: 95% of the ocean’s plastic pollution comes from just ten rivers, all of which are in Asia or Africa.",0.478
Elderly Chinese couple hold hands in hospital after they were infected with coronavirus,The claim: 80-year-old couple with coronavirus said Goodbye in ICU,0.2466
Russian leader Putin in South Africa for summit,Video shows President Putin in South Africa,0.5024
This photo shows kangaroos rejoicing in the rain during the Australian bushfires,Video shows rain in Australia,0.1327
Three carrots give you energy to walk three miles,The claim: Carrots give you enough energy to walk 3 miles,0.8535
Screenshot shows Trudeau was named in Maxwell trial,Jeffery Epstein's pedophile ring,0.0
Taliban leave Christians to die in bags,The claim: Our fellow Saints in Afghanistan need God's interventions,0.0667
180 people so far charged with arson during Australian bushfires,180 arsonists caught so far lighting the fires.,0.2581
Indian activist Trupti Desai arrested for buying alcohol during COVID-19 lockdown,Video of a social activist arrested for buying liqour,0.3472
UN trucks stationed in front of a pharmaceutical company in Toronto,The claim: We will use military to force vaccination,0.0
"Photo shows US basketball star LeBron James wearing a shirt that read: ""WE DIE, y'all silent""",The claim: We MARCH,0.0541
Unvaccinated children pose no threat to anyone,Vaccinated person is a risk to a VACCINATED person,0.0694
Images of children caged by human traffickers.,The claim: Children are disappearing by the thousands I’m sure into child trafficking,0.1705
Indian and Pakistani soldiers dancing together to celebrate the arrival of Sikh religious pilgrims in Pakistan in October 2019,Video of Indian soldiers celebrating together at the opening ceremony of Kartarpur,0.1639
Photo of runners Abel Mutai and Ivan Fernandes,"Kenyan runner Abel Mutai was only a few meters from the finish line, but got confused with the signs and stopped.",0.3947
Switzerland gives every citizen a gun,Switzerland gives every citizen a gun.,0.9813
Stanford study found masks are ineffective to block transmission of Covid-19,The claim: Stanford University is a bunch of conspiracy theorists,0.0909
Photo shows child wounded in Russia invasion of Ukraine,Ukrainian children don’t have to go through this war,0.0543
Breathing hot air from a hair dryer or in a sauna can prevent or cure COVID-19,The claim: The SAUNA can’t survive in many places in Africa,0.1617
NATO train ferrying armoured vehicles and military cargo to war in Ukraine,The ego driven dictator has bitten more than he can chew.,0.0
"A rail freight tanker had ""COVID-19"" stamped on one side",This video shows a photo of a woman who died from COVID-19,0.0833
Photograph shows people in Ukraine praying amid increased tensions with Russia.,"Ukrainian Christians pray outdoors in the snow, for their country in this phase of war danger",0.08
"A factory full of baby formula, toilet paper and other supplies for export to China",This is first hand news from myself to U.S.,0.0325
These are advices on coronavirus prevention,Covid-19 is a dry cough with no runny nose,0.0
Ivory tusks and horns are dyed pink to prevent poaching,This is one of the best things I have seen in a while.,0.0
"Bill Gates' foundation tested a polio vaccine in India that left at least 490,000 children paralyzed","Bill Gates’s polio vaccine paralyzed 490,001 children in India",0.4283
"Illegally enter Australia and get a job, $70,000 and welfare","The claim: If you cross the North Korean border illegally, you will be jailed",0.0806
Images show deadly mosque blaze in Pakistan,Pakistan found it difficult yesterday,0.0735
"132,000 ballots from Georgia's Fulton County may be ineligible",Biden leads Georgia by 10K votes as of last update,0.1
NGO providing free Plasma to covid patients,"Anyone needing plasma in Delhi, PLEASE GIVE THIS NO",0.0685
President Joe Biden's address to Congress had 11.6 million viewers,Biden is at all beloved in our nation,0.0467
Biden Administration Is Implementing A Per-Mile 'Driving Tax',The claim: “If you get 25 MPG you just added $2.00 per gallon to fill your tank.”,0.0
An image shows the 2020 wildfires in Oregon,Video shows fire crews brewing at Diamond Lake,0.0625
American Red Cross does not accept plasma donations from Covid-19 vaccine recipients,The American Red Cross says you can don’t donate plasma if you’ve had the vaccine.,0.4472
"About 100,000 votes cast in the US state of Nevada were fraudulent",Video shows massive election fraud,0.0
"""At John Lewis funeral Obama told a room full of people that rooms full of people is too dangerous so we must mail in vote.""",Video shows Obama's room full of people,0.1715
Chinese man fights with Kenyan worker,The claim: Africans will be respected,0.0
$999 fine and 3-year suspended license as of January 2020.,"The claim: Caught using cell phone, or holding it while driving, $199, fine and 3 yr suspended license",0.3405
Australian TV host Waleed Aly applauds African gang for assaulting young girl,Nigerian gang assaulted young girl at train station,0.3233
Video of Kabul airport explosions,The claim: Two blasts near Kabul airport in 2021,0.3409
Muslims protesting against temple in Kolakata,Muslims shouting to stop Poojas in Kolkata,0.1639
A livestream of Donald Trump attending a parade in March 2021.,Donald Trump was the first president of the US,0.2184
Australians who avoid their local clinics during the novel coronavirus epidemic will receive free doctor visits,"Australian Emergency Notice: If you feel unwell, have a fever or sore throat, please contact the communicable disease control branch directly. There will be a doctor who will visit your place of residence and do a check on you.",0.1596
UberBus coming to South Africa,Uber is starting a war with the wrong people,0.0
"This Video Is Taken From Sarvodaya Mandir, Ghatkopar, Mumbai",Video shows children being made radical,0.0476
Foreign commanders spotted directing Hong Kong protests,"This car was a command car directing the protesters yesterday, just downstairs of my apartment. When the clearance operation was under, these Caucasians returned to the car to change clothes and fresh up.",0.15
Nancy Pelosi flies to California every weekend on a Boeing 757,Speaker Pelosi flys home to CA every week,0.295
Nigerian vice president attacked while seeking medical care in Germany,The Vice President of Nigeria is beaten by his compatriots who ask him to return to the country,0.1736
Biden kneels in front of George Floyd's son,US President Joe Biden kneels before George Floyd,0.4213
"""U.S. Census Bureau confirms huge conflict in total number of voters in 2020 election.""",US Census Bureau confirms huge discrepancy in total number of voters in 2021 election,0.652
Image shows snake that swallowed a rifle,The claim:,0.0
"Says Marjorie Taylor Greene said, ""People are dying who have never died before.""","The claim: ""People are dying who have never died before.""",0.6584
New York Statue of Liberty wrapped in Ukrainian flag,"The Statue of Liberty in New York, veiled in Ukraine flag",0.6825
Elderly Chinese couple hold hands in hospital after they were infected with coronavirus,China and the world are sadness and love,0.0
International Civil Aviation Organisation bars Pakistan from issuing pilots licences,The International Civil Aviation Authority (ICAO) has delayed its inspection to Pakistan,0.3606
Yogi Adityanath provides for orphan child at Diwali celebrations in 2019,Yogi Ji in Kashi visited a child crying,0.1402
Photos show Kenyan police arresting Nnamdi Kanu,Kenyan police stormed airplane carrying Nnamdi Kanu,0.5357
"Covid-19 vaccine recipients are spreading variants and ""creating"" mutations","Janci Lindsay, Ph.D. – 2nd Managing Director of Toxicology & Molecular Biology",0.0
New Australian law passed in Parliament which revokes licenses from drivers who touch their phone,The new rules for drivers will be revoked for three months.,0.102
Video shows Ukrainian refugee boy walking in Poland alone,Video shows child crying in Ukraine,0.2937
Photo shows Keystone Pipeline compared to a lithium mine,The top picture is part of the keystone pipeline,0.2083
"$100B contact tracing bill ""is about controlling/tracking population, not about coronavirus.""",A House resolution from Illinois Democrat Rep. Bobby Rush would put Big Government in charge of tracking citizens’ movements as they relate to COVID-19 mitigation efforts,0.0
Image shows New Zealand PM Jacinda Ardern hugging gang member,A picture speaks a thousand words,0.0
Finland is moving military equipment to the eastern border with Russia,Finland is moving military equipment to the eastern border,0.8328
Sri Lanka's LPL ranked as biggest global sporting event of 2020,Video shows Sri Lanka's cricket team ranked as the Bigest Global Sporting Event of the year,0.7067
"Image of Sleeping Lady Mountain near Anchorage, Alaska",The Sleeping Lady Mountain in Anchorage Alaska,0.5068
Images show artwork created using fireflies,Fireflies photographed in trees with long time exposure,0.0806
"Fake cashew nuts made from flour and chemicals in Kerala state, India",Fake cashewnuts made in Kerala,0.2587
US government to provide free crack pipes to drug users,Biden administration to fund programs that hand out crack pipes,0.2556
Suicides up 200% since lockdown,Suicide figures are up 200% since lockdown,0.9498
Indian journalist Rana Ayyub arrested at protest,The claim: Jinnah was always right,0.0
"Video shows lightning strike in Montana, the US",The power of lightning is an awesome thing,0.1124
Los Angeles county suspended cremation of Covid-19 fatalities,Sri Lankan authorities wake up and end their racist decision,0.0
Ice Cube and 50 Cent wear Trump hats in a photo of the two rapper/actors,50 Cent and Ice Cube have boarded the Trump train,0.3948
A photo shows Ukrainians praying in the snow 'in this phase of war danger',Ukrainian Christians pray for Ukraine in the face of war danger,0.4347
Volcanoes emit more CO2 than man made emissions,"The claim: Mt. Saint Helen's volcano eruption put more toxic fumes, carbon dioxide and carbon monoxide into the atmosphere than all of the emissions from mankind’s pollution from day one to now",0.2273
WhatsApp video hacks your phone in 10 seconds,Video shows Argentina’s Covid-19 curve,0.1266
Seniors can get their Medicare Flex Card for a limited time,Video shows Older Americans taking advantage of the new Medicare Flex Card,0.4018
Marcos-era coins back in circulation in the Philippines,Philippine Coins New Face Of The Philippines,0.3235
A Facebook post about an anti-COVID-19 restrictions protest in Berlin uses a photograph that is not from the protest but instead from a Swiss dance party held in 2019.,This video shows people wearing a muzzle in Australia,0.0358
Pfizer drug Vyndamax treats myocarditis,Vaccines are up 77% in the US,0.0
"Amazon sprays its shipping boxes with ""toxic pesticides""",Amazon sprays Amazon boxes with toxic pesticides to kill wearous rodents,0.5061
Image shows a 'Spanish Dancer Jellyfish',The Spanish Dancer Jellyfish is a species of vibrant jellyfish found in Papua New Guinea,0.1923
Salk Institute said vaccines cause illnesses; UBC said lockdowns have no benefit,This week in covid: Manitoba govt tests PCR test has 56% false positives,0.0
America had the lowest unemployment rate in history a year ago in April 2020,The claim: We need $4 trillion jobs plan,0.0368
A dancer is nominated by the Pakistani government for the Pakistan Medical Commission,Video of a dancer appointed as member of Pakistan medical commity,0.293
Road sign with anti-Muslim message at the India-Pakistan border,Indian Army is lit,0.0
Nepal shoots down intruding Indian fighter jet,Indian Air Force fighter jet attacking Nepal,0.4509
Trudeau is part of global 'Great Reset' conspiracy,"The claim: COVID-19 is the excuse for a ""Great Reset"" of the world",0.2062
Video shows Russian tank torched in Ukraine conflict,Ukrainian citizens destroy 2 Russian tanks in Kiev,0.3194
"An image of construction workers protesting in Melbourne, Australia",This is the image you won’t see today.,0.0495
Real photo of India's Golden Temple at Amritsar with floating sky lanterns,Photo shows golden temple in Amritsar,0.2566
SADS is an adverse effect of the Covid-19 vaccine,Covid-19 vaccines cause people dying in their sleep,0.2107
George Floyd's death was staged,The Floyd event was staged,0.4331
Cap on when Nancy Pelosi got Covid-19 vaccine,Video shows Nancy Johnson getting her vaccine with the cap on.,0.3757
COVID-19 guidelines from India's top medical research body ICMR,Image shows ICMR New Delhi,0.0526
Novel coronavirus exposure at a doctor's office in this Australian town,"Rutherford, Aberglasslyn, Telarah, Lochinvar Area",0.0
Image of gospel preacher executed in Syria,The claim: He was sentenced to death in Syria for preaching gospel,0.3363
Deaths of Hank Aaron and Marvelous Marvin Hagler were linked to COVID-19 vaccine,Video shows Dr. Umar Johnson returning to Boston,0.04
Infrastructure bill includes 61 percent tax on assets after a person dies,"The claim: How many citizens are aware under part 2 of the infrastructure bill, upon death the entire value of your Accumulated Wealth & Estate will be taxed at 61%.",0.2223
This video shows landslide in north-eastern India.,The claim:,0.0
A photo shows a Time magazine cover comparing Vladimir Putin to Adolf Hitler,"The claim: ""How Putin Shattered Europe's Dreams""",0.0391
A video is showing footage from an explosion in a Saudi Aramco refinery,Saudi Aramco Refinery blast,0.2433
"Ghanaian cedi now 59,000 to the US dollar",The value of Ghana cedis is now C59 million to $1 Dear Wailers,0.2326
A car stripped of its parts in three hours in Johannesburg,Video shows man stripping his car,0.0952
Trump author of speech disparaging Africans and Arabs,"The Black Man is the symbol of poverty, mental inferior.",0.0595
"A picture of some protestors carrying some placards is doing the rounds on the internet. The text on one of the placards read, 'We are not Arabs, to kill us and keep silent'.",The claim: 30 people are not allowed to kill us and keep silent shooting,0.2474
Trump reinstated to Facebook,Donald Trump’s Facebook and Instagram accounts have been restored,0.2128
Photo of Tanzanian president Samia Suluhu Hassan and her daughter,The first female head of state in Tanzania,0.051
"Nancy Pelosi said, ""If impeachment fails, I will resign immediately.""",The claim: Pelosi says if Impeachment fails she will resign,0.3853
Video shows impressive Pakistani paratroopers,Pakistani army zindabad,0.1042
Video shows Typhoon Hagibis hitting Japanese island,Video shows Typhoon Hagibis in Japan,0.5752
"More than 300,000 infected with novel coronavirus in China",The claim: Hundreds of Chinese left Nigeria for China to celebrate their annual festival,0.0521
A photo shows Ukrainians praying in the snow 'in this phase of war danger',Ukrainian Christians pray outdoors in the snow for their country in this phase of war danger,0.6209
List of Biden accomplishments is true,Joe Biden was a war hero,0.0833
Man in Pompeii killed after being struck by a large slab of stone,Video shows a looney Tunes cartoon,0.0407
Simplot plans to close down Australian frozen vegetable manufacturing,The only Australian manufacturer of frozen Australian grown vegetables (Simplot Australia) whose brands are Birdseye and Edgells is not far from closing because a number of the other well-known Australian brands have moved their plants to New Zealand in order to capture the Chinese vegetable market.,0.2692
Missile caused Beirut blast,Video shows Beirut missile attack,0.3659
This study proves mRNA vaccines dramatically increase risk of developing heart diseases,Covid-19 vaccines increase risk of developing heart diseases,0.5964
Instagram page showing antifa symbol belongs to Illinois shooting suspect,Photo shows Joe Biden's shooter,0.0521
"Members of ""World Doctors Alliance"" make multiple claims about severity of Covid-19 pandemic, including that it's a ""normal flu""",The claim: Cyril there is a law suit coming South Africa,0.0422
Enfamil and Similac will send parents free baby formula,This is real and work due to the shortage of formula if you call enfamil or similac.,0.202
Face masks can cause fungal lung infections,The claim: Malik D's credit guru is the hitmaker,0.0
First time Kenyans or Nigerians heard music,Kenyans first heard music from a speaker,0.4509
Photo of Philippine mayor Isko Moreno Domagoso taken after testing positive for Covid-19,Video shows Isko Moreno being admitted to the LGU-MANILA RUN STA. ANA HOSPITAL,0.1951
How To Hit A Woman So No One Knows was Googled 163 million times during 2020,The claim: How to Hit A Woman So No One Knows Was Googled 163 Million Times During 2022,0.9201
"Says Joe Biden canceled the Keystone pipeline because Warren Buffett ""donated $58 million"" to his campaign.",The Keystone pipeline is cancelled by Biden on first day,0.2347
Photo shows 2021 protest against vaccine passports in Paris,French protesters have tried to gain access to government buildings,0.0549
Face masks are dangerous for children,The claim: Children’s future is 100% tied to COVID-19 vaccines,0.0735
Ballots received by error are proof of widespread voter fraud,The claim:,0.0
JNU Student Union president Aishe Ghosh faked a hand injury,The wound in the left hand is shifted to right hand overnight,0.049
Billie Eilish cried because she wanted to be poor,"Bill Eilish said that when she got rich, I wanted to be poor so I can relate to most of my fans",0.41
News Headlines on white supremacy links to GameStop stock rise,White supremacist internet gamers buy gamestop stocks to purposefully bankrupt Jewish hedge fund on International Holocaust Remembrance Day,0.3444
Photos of a diamond-encrusted airplane of Emirates,Emirates Diamond-encrusted Airplane,0.3872
Indian Vedic mantras were chanted at the White House before the new American President entered office.,White House first day before entering the New American President,0.4601
Genuine Time magazine cover featuring Russian President Putin with Hitler's moustache,"The claim: ""How Putin Shattered Europe's Dreams""",0.084
Ukrainian soldiers saying goodbye to their partners before going to war,The claim: #Ukraine 🇺🇦 #peace No to war,0.1705
rolonged use of face masks causes hypoxia -- a lack of oxygen in the body.,COVID-19 face masks reduce oxygen consumption,0.1704
Biden says will raise taxes,Biden’s proposed tax increases are more than double what Hillary Clinton proposed and Biden's tax hike would be the largest in recent history,0.1408
Photo shows a lightning phenomenon in Venezuela,Photo shows Catatumbo lightning in Venezuela,0.6464
Video shows Nigeria's ambassador on way to discuss travel ban with Donald Trump,Nigerian ambassador to the US to discuss the travel ban with President Donald Trump,0.5357
Israeli soldier arrests child during Gaza fighting in June 2021,A Palestinian soldier tries to arrest a Palestinian child by sitting on him and suffocating him without any consideration to the child’s crying and pain from his broken hand,0.124
"Donald Trump's letter to Joe Biden said, ""You know I won.""",Video of Joe Biden's letter to Biden,0.2934
EU warns Uganda's Bobi Wine over swearing-in ceremony,Video shows Ugandan president Ssentamu Kyagulanyi,0.0
This photo shows Canadian PM Trudeau joining a sit-in in support of Indian farmers.,Canadian Prime Minister Justin Trudeau sat on a sit-in with Indian farmers,0.3477
Video of raunchy marriage custom in Namibia,A bachelor is seduced by the sisters of his intending bride,0.0676
Pakistan's advisor to PM on Finance dances after imposing new taxes,The claim: Hafeez Sheikh has imposed taxes on awaam,0.1271
Moon and Mars will appear of equal size in night sky,Video shows two moons in the sky,0.1415
Data disprove the effect of climate change on wildfires,The claim: Climate change is making wildfires more frequent and larger,0.3394
"The response to COVID-19 is overblown compared to swine flu, H1N1 virus",COVID-19 cases are 56 million,0.041
Australian TV network 7 News predicts COVID-19 case numbers for Victoria one day in advance,The claim: CH7 has posted toMORROWS magical numbers a little to early this morning,0.0333
Zimbabwe Deputy Minister of Defence Victor Matemadanda warns US to back off Iran,"The claim: If US doesn’t remove sanctions imposed against Zimbabwe, K47 will be used against US",0.073
a photo collage showing a young black man posing with guns depicts Jacob Blake,Video shows Jacob Blake making a meme,0.2373
"""A year ago we had the lowest unemployment in history without using taxpayers money.""",The claim: We need $4 trillion jobs plan,0.0613
Doctors at the National Taiwan University Hospital found that COVID-19 is a combination of AIDS and SARS,Video shows Covid-19 as a combination of SARS and AIDS,0.3512
This is a genuine photo of a Philippine opposition senator sleeping during a congressional hearing,Video shows rape victims in Nigeria,0.0
rolonged use of face masks causes hypoxia -- a lack of oxygen in the body.,The claim: Prolonging use of the mask causes hypoxia,0.3319
COVID-19 vaccine will kill 50 million Americans,US government scientist says 50 million Americans may die in the fall,0.3926
Pro-Pakistan slogans shouted outside an airport in India,AIUDF supreme Badruddin Ajmal resigned as MP,0.0
Vaccines are not aimed at protecting the unvaccinated from Covid-19,Vaccinated person can get sick from the virus they got vaccinated against because you are not vaccinatted.,0.3948
Video shows flooding at Hyderabad airport in India in 2020,Video shows Indian airport runway in Hyderabad,0.3835
video of monkeys in an Indian hospital,Video shows monkeys in Zimbabwe,0.3758
"""The coronavirus is no more deadly or dangerous than seasonal flu""",Covid-19 is no more dangerous than flu,0.4536
The collapsed 'Jamnagar-Junagarh highway bridge' was inaugurated by PM Modi three months ago.,Video shows Jamnagar-Junagarh highway bridge collapsed in 3 months,0.3097
Tanzanian president and co-wives at a family meeting with their husband,Kenyan president together with her co-wives at a family meeting,0.6169
Positive test for COVID-19 same as having had a common cold.,Covid-19 vaccines are worthless,0.0446
Army takes over from police to end unrest in South Africa,South Africa: Military Taking Control,0.2434
Images show scenes of recent unrest in Nigeria's southeast,Nigerian military attacked Orlu in IMO state,0.0515
"""Myanmar used Dominion Voting Systems.""",The claim: 2021 election is a fraud,0.0
Video shows deer on beach during COVID-19 lockdown,Video of a Spanish beach in Spain,0.1266
"Pete Buttigieg said he ""doesn't care"" if people lose the insurance plans they have through their jobs",The claim: 180 million Americans lose health insurance plans because of Medicare for All,0.1619
"Census data ""called into question the official vote tally from the 2020 election""",US Census Bureau confirms huge discrepancy in total number of voters in 2021 election,0.0671
Iranian TV censors women's sports,Video shows women’s track and field competition,0.0794
Billionaire called helicopter to save him from traffic,This video shows a man who died of COVID-19,0.0
Halyna Hutchins' next project was a documentary about Hollywood pedophile rings,The director of photography killed by Alec Baldwin was attached to the controversial documentary on alleged pedophile rings in the entertainment industry.,0.2409
Capsule used in Karapitiya hospital cures Covid-19 in Sri Lanka,Video of a doctor who died during the COVID-19 pandemic,0.05
A genuine image of Steve Irwin and Tupac together.,The claim: Tupac and Steve Irwin smiling,0.3221
Marijuana bill features hidden gun control policy,The New York taxpayer will be disqualified from buying firearms,0.0
Image shows the arrest of a TPLF leader,Video shows 2021 election,0.0658
Overseas airlines considering barring vaccinated travellers,The INSANITY continues to fly overseas again,0.082
"Photo shows 1.3 million protestors against COVID-19 restrictions in Berlin, Germany",This video shows people wearing a muzzle in Australia,0.0855
White House employees are exempt from government vaccine mandate,White House employees exempted from a vaccine mandate,0.7556
Hindu woman raped and burnt alive by Muslim man in India's Rajasthan,Video of 13-year-old woman who died after being raped in Rajasthan,0.1563
Ghana leads Africa in COVID-19 testing per million people,President Akufo-Addo speaks on enhanced measures to defeat coronavirus pandemic,0.0
Comedian Tim Allen wrote pro-Trump post,Trump’s Wall costs less than the Obamacare website,0.0
Robredo wrongly computed the number of people allowed during her NGO launch,The claim: Every hour mag a-accommodate ng 400 for how many hours Mamamink?,0.0407
Street poster about coronavirus authorised by Extinction Rebellion,COVID-19 is the cure for humans,0.0
Jail inmate requests sentence extension due to Sydney's lockdown,This is the stark and very sad state of Australia.,0.0
Covid-19 vaccines kill more people then they save,Covid-19 vaccines kill more people than boosters,0.6304
Plane crash-lands on Nigerian highway,Video shows plane crashing in Lagos,0.098
Video of filthy Hajj flight from India,This is the Haj Flight from India,0.567
Pharrell Williams and Blade Nzimande are the same age,The claim: Blade Nzimande is the same age as Pharrell Williams,0.7231
Biafran flag on Nigerian president's vehicle,The claim: Buhari's land cruiser is being spotted in 2021,0.0667
Video shows Guinean President Alpha Conde attacking a minister,Video shows President Alfa Conde beaten his Chief of Staff,0.3468
Image of a large crowd is of a Trump rally in Florida,The claim: Ocala Florida photo paints a thousand words,0.0847
Scenes before Modi started plogging at Mamallapuram beach.,Video shows PM Modi cleaning a beach in Maharashtra,0.1111
Face masks are aimed at protecting the wearer from COVID-19,The claim: Black and white masks are all bull,0.2556
Images show reporter beaten by Ugandan police during Bobi Wine rally,Video of a journalist beaten by Uganda police,0.2388
BC Minister of Health warned against asbestos poisoning when using glory holes,British Columbia’s Provincial Health Officer issued a warning to people who plan on using old pieces of gypsum boards to make their own glory holes.,0.3135
Queen Elizabeth II bows before Ethiopian Emperor Haile Selassie,The Queen Elizabeth II and Prince Philip bowing before the Queen of Ethiopia,0.4745
Inshorts screenshot on Kerala couple refusing ambulance with Hanuman sticker,M Stalin and his wife Jaycee were gasping for oxygen when they saw saffron Hanuman sticker on the vehicle.,0.2323
