ground_truth_claim,generated_claim,meteor_score
Liberal Party of Canada plans to tax capital gains on home sales,Justin Trudeau wants a tax on sale of his home,0.2119
"""World Bank website shows COVID-19 testing kits purchased by countries in 2017 and in 2018""",World Bank confirms that Covid-19 test kits have been exported and imported worldwide since 2017.,0.3756
"Fire at Rochester, New York's City Blue Imaging linked to ballot fraud cover-up","City Blue Imaging Services in Rochester, NY burned ballot misprint errors",0.4318
Thousands of Russian Army soldiers parachute into Ukraine.,Video shows Russian troops landing in Ukraine,0.1136
Photos of 75-year-old American woman,Photo shows American woman looking 35,0.5011
"Image shows mismatch between Neil Armstrong's spacesuit and boot print left on the Moon, therefore Moon landing was a hoax",Photo shows Neil Armstrong's astronaut suit preserved in a museum,0.2134
United States crime statistics in 2015,US crime statistics in 2015,0.6727
Video of footballer Andre Gomes' ankle being pushed back into place,Everton midfielder Andre Gomes will have surgery on Monday after suffering a horrific ankle injury,0.2078
A video shows Ukrainians destroying Russian tanks with Molotov cocktails,Ukrainian citizens destroying Russian tanks with Molotov cocktails,0.706
Dischem pharmacy mocks rival over racism row,Dis-Chem Pharmacy is offering free health products,0.0714
South Africans can refuse COVID-19 isolation,"Drinking water with ginger, lemon and honey can prevent coronavirus symptoms",0.0758
Soweto father who tortured his daughter's rapist,Soweto father raped his daughter,0.487
Photos of regrowth after Australian bushfires,Photo shows regrowth after Australian bushfires,0.8067
Sri Lanka's LPL ranked as biggest global sporting event of 2020,Sri Lanka won the first World Cup in 2021,0.2184
Photo shows recent anti-lockdown and anti-vaccination protests organised in France.,Video shows anti-lockdown protests in France,0.3543
Fauci is alone in saying hydroxychloroquine unproven against COVID-19,Fauci said hydroxychloroquine doesn’t work,0.2904
Video shows Kenyan man killing his baby,Kenyan man assaults his wife,0.3758
"The Uvalde, Texas, school shooter was a ""transsexual leftist illegal alien named Salvatore Ramos.""",Salvador Ramos was transgender,0.0571
Federal Reserve is owned by a small group of banking families,“The Federal Reserve Bank and the filthy rich few who actually control everything in this Country are a story that every American needs to know and understand.”,0.2447
Melania Trump's dress featured drawings by child abuse victims,Melania Trump wore a dress inspired by Alexander McQueen,0.3188
"Time change, full moon and Friday the 13th happening in same week of March 2021","This week has a time change, full moon and Friday the 13th",0.6344
Paul Pogba quit France's national football team over president's remarks on Islam,Photo of Bongbong Marcos in the Philippines,0.0
Biden faked an interaction with reporters,Biden's hand go through the grey mic,0.0806
Photos show that Muslims vandalise Baba Saheb Ambedkar statue in Delhis Seelampur.,Video of Muslims chanting ‘Jai Ram’ slogans in Delhi,0.1997
Photo of a jaguar rescued from the 2019 Amazon fire,A rescue picture of one of the animals that threw themselves into the water to save themselves from the Amazon fire,0.5157
This photo shows the aftermath of vaccine trials on Africans,Covid-19 vaccines are not safe for Africans,0.1031
Novel coronavirus exposure at a doctor's office in this Australian town,This video shows a woman dying from the COVID-19 vaccine,0.0847
90 percent of plastic in the world's oceans comes from ten rivers,"95% of the ocean’s plastic pollution comes from ten rivers, all of which are in Asia or Africa.",0.5476
Elderly Chinese couple hold hands in hospital after they were infected with coronavirus,80-year-old couple with COVID-19 in hospital,0.2566
Russian leader Putin in South Africa for summit,Photo shows Putin arriving in South Africa,0.4747
This photo shows kangaroos rejoicing in the rain during the Australian bushfires,Photo shows rainfall in Australian bushfires,0.3912
Three carrots give you energy to walk three miles,Three carrots give you energy to walk three miles,0.9993
Screenshot shows Trudeau was named in Maxwell trial,Jeffery Epstein was a pedophile,0.0649
Taliban leave Christians to die in bags,An image shows a Taliban soldier praying for his brother’s and sister's in Afghanistan,0.125
180 people so far charged with arson during Australian bushfires,180 arsonists caught in the fires,0.0521
Indian activist Trupti Desai arrested for buying alcohol during COVID-19 lockdown,Video of Nigerian activist Trupti Desai arrested for buying liqour,0.5492
UN trucks stationed in front of a pharmaceutical company in Toronto,Bioweapon will use military to force vaccination,0.0
"Photo shows US basketball star LeBron James wearing a shirt that read: ""WE DIE, y'all silent""",Video shows protests against COVID-19 vaccines,0.0269
Unvaccinated children pose no threat to anyone,Covid-19 vaccines cause cancer,0.0
Images of children caged by human traffickers.,Children are disappearing by the thousands,0.1282
Indian and Pakistani soldiers dancing together to celebrate the arrival of Sikh religious pilgrims in Pakistan in October 2019,Pakistani and Indian soldiers celebrating the Indian Independence Day in 2021,0.2635
Photo of runners Abel Mutai and Ivan Fernandes,"Kenyan runner Abel Mutai got confused with the signs and stopped, thinking he had finished the race.",0.4121
Switzerland gives every citizen a gun,Switzerland has the world's lowest gun violence rates,0.1587
Stanford study found masks are ineffective to block transmission of Covid-19,Stanford University is a group of conspiracy theorists,0.0935
Photo shows child wounded in Russia invasion of Ukraine,The claim: Video shows a child injured in the attack on Ukraine,0.2128
Breathing hot air from a hair dryer or in a sauna can prevent or cure COVID-19,SAUNA can’t survive in many places in Africa,0.1659
NATO train ferrying armoured vehicles and military cargo to war in Ukraine,The claim: Photo shows NATO convoy in Ukraine,0.2184
"A rail freight tanker had ""COVID-19"" stamped on one side",The claim: Video shows Donald Trump reposting a post,0.0424
Photograph shows people in Ukraine praying amid increased tensions with Russia.,"Ukrainians pray outdoors, in the snow, for their country in this phase of war danger.",0.119
"A factory full of baby formula, toilet paper and other supplies for export to China",Freightnet has found a claim to be False,0.0658
These are advices on coronavirus prevention,The coronavirus disease is a dry cough with sputum and runny nose.,0.0746
Ivory tusks and horns are dyed pink to prevent poaching,Pink dye used on banknotes saves lives,0.0515
"Bill Gates' foundation tested a polio vaccine in India that left at least 490,000 children paralyzed",Bill Gates' polio vaccine paralyzed children in India,0.5079
"Illegally enter Australia and get a job, $70,000 and welfare","If you cross the North Korean border illegally, you get shot.",0.124
Images show deadly mosque blaze in Pakistan,"Pakistan found it difficult yesterday. Both Masjid & Islamiyyah (Madaraasa) got burnt with many & many Muslims, SubhānaAllah. May Allah forgive whom died there & grant them Jannatul Firdaws finally. Say Ameen as a Muslim. Like our page below",0.0459
"132,000 ballots from Georgia's Fulton County may be ineligible",“Biden leads Georgia by 10K votes as of last update.”,0.0971
NGO providing free Plasma to covid patients,COVID-19 plasma donor lists being shared in India,0.0704
President Joe Biden's address to Congress had 11.6 million viewers,There’s no way Biden is at all beloved in our nation,0.0446
Biden Administration Is Implementing A Per-Mile 'Driving Tax',“$3.00 gas is now $5.”,0.0549
An image shows the 2020 wildfires in Oregon,The claim: Fire crews in Diamond Lake are under fire ,0.1205
American Red Cross does not accept plasma donations from Covid-19 vaccine recipients,Red Cross says people vaccinated against Covid-19 cannot donate plasma,0.403
"About 100,000 votes cast in the US state of Nevada were fraudulent","""Massive election fraud"" and ""voting irregularities totally erase Biden's lead.""",0.0403
"""At John Lewis funeral Obama told a room full of people that rooms full of people is too dangerous so we must mail in vote.""",Obama asked people to vote at John Lewis's funeral,0.2185
Chinese man fights with Kenyan worker,Africans should not rattle people,0.0
$999 fine and 3-year suspended license as of January 2020.,US driver gets $998 fine and 3-year suspended license as of January 2021,0.7337
Australian TV host Waleed Aly applauds African gang for assaulting young girl,South African gang assaults a young girl,0.3878
Video of Kabul airport explosions,Video shows blast at Kabul airport,0.5011
Muslims protesting against temple in Kolakata,Video of hundreds of Muslims shouting to stop poojas at Kali Matha Mandir in Kolkata,0.1449
A livestream of Donald Trump attending a parade in March 2021.,Trump welcomes Donald Trump,0.1674
Australians who avoid their local clinics during the novel coronavirus epidemic will receive free doctor visits,Australian emergency notice,0.034
UberBus coming to South Africa,Uber warns against COVID-19,0.0
"This Video Is Taken From Sarvodaya Mandir, Ghatkopar, Mumbai","Sarvodaya Mandir, Mumbai",0.3641
Foreign commanders spotted directing Hong Kong protests,"A command car was directing the protesters yesterday, just downstairs of my apartment.",0.1923
Nancy Pelosi flies to California every weekend on a Boeing 757,Pelosi leaves on Friday and returns on Monday.,0.0926
Nigerian vice president attacked while seeking medical care in Germany,Nigerian vice president beaten in Germany for medical care,0.6792
Biden kneels in front of George Floyd's son,Joe Biden kneels before George Floyd's son,0.6617
"""U.S. Census Bureau confirms huge conflict in total number of voters in 2020 election.""",Census Bureau confirms conflict in total number of voters in 2010 election,0.6599
Image shows snake that swallowed a rifle,Snakes eating meat at a Walmart supermarket,0.1429
"Says Marjorie Taylor Greene said, ""People are dying who have never died before.""",Marjorie Taylor Greene said people are dying who have never died before,0.7256
New York Statue of Liberty wrapped in Ukrainian flag,Photo shows the Statue of Liberty in New York,0.625
Elderly Chinese couple hold hands in hospital after they were infected with coronavirus,Covid-19 vaccines cause novel coronavirus,0.041
International Civil Aviation Organisation bars Pakistan from issuing pilots licences,International Civil Aviation Organisation (ICAO) has delayed its inspection to Pakistan and expressed reservations over safety,0.4481
Yogi Adityanath provides for orphan child at Diwali celebrations in 2019,"Yogi Ji in Kashi visit, saw a child crying",0.1376
Photos show Kenyan police arresting Nnamdi Kanu,Video shows how Kenyan Special Police stormed airplane carrying Nnamdi Kanu,0.5027
"Covid-19 vaccine recipients are spreading variants and ""creating"" mutations",Covid-19 vaccines are dangerous,0.2481
New Australian law passed in Parliament which revokes licenses from drivers who touch their phone,Australian law passed in Parliament which revokes drivers who touch their phone during driving,0.8035
Video shows Ukrainian refugee boy walking in Poland alone,Video shows a Ukrainian child crying,0.2937
Photo shows Keystone Pipeline compared to a lithium mine,Photo shows Keystone Pipeline and Lithium mine,0.6692
"$100B contact tracing bill ""is about controlling/tracking population, not about coronavirus.""",Illinois House resolution would put Big Government in charge of tracking citizens’ movements,0.0
Image shows New Zealand PM Jacinda Ardern hugging gang member,A picture shows gunfires in the Philippines,0.0515
Finland is moving military equipment to the eastern border with Russia,Finland is moving military equipment to the eastern border,0.8328
Sri Lanka's LPL ranked as biggest global sporting event of 2020,The LPL ranking is the biggest global sporting event of the year,0.5765
"Image of Sleeping Lady Mountain near Anchorage, Alaska",Photo shows sleeping lady mountain in northwest Alaska,0.4213
Images show artwork created using fireflies,Photo shows fireflies photographed in trees with long time exposure,0.1562
"Fake cashew nuts made from flour and chemicals in Kerala state, India","Fake cashew nuts made from flour and chemicals in Kerala state, India",0.9998
US government to provide free crack pipes to drug users,Biden plans to fund crack pipes,0.2662
Suicides up 200% since lockdown,Suicide figures are up 200% since lockdown,0.9498
Indian journalist Rana Ayyub arrested at protest,Woman praying for Allah,0.0
"Video shows lightning strike in Montana, the US",lightning striking a stream in Montana,0.431
Los Angeles county suspended cremation of Covid-19 fatalities,Video shows people being cremated in Sri Lanka,0.0625
Ice Cube and 50 Cent wear Trump hats in a photo of the two rapper/actors,50 Cent and Ice Cube have boarded the Trump train,0.3948
A photo shows Ukrainians praying in the snow 'in this phase of war danger',Ukrainians pray in the snow ahead of the invasion of Ukraine,0.3501
Volcanoes emit more CO2 than man made emissions,"A Facebook post claims that Mt. Saint Helen's volcano eruption put more toxic fumes, carbon dioxide, CO2 monoxide into the atmosphere than all of the emissions from ALL of mankind’s pollution from day one to now. We fact-checked and found this claim to be False.",0.24
WhatsApp video hacks your phone in 10 seconds,WhatsApp video hacks your phone in 10 seconds,0.999
Seniors can get their Medicare Flex Card for a limited time,Older Americans can get the Medicare Flex Card,0.5257
Marcos-era coins back in circulation in the Philippines,Photo shows new face of Philippine coin,0.1266
A Facebook post about an anti-COVID-19 restrictions protest in Berlin uses a photograph that is not from the protest but instead from a Swiss dance party held in 2019.,Australians are happy to wear a muzzle and sit in front of TV,0.0353
Pfizer drug Vyndamax treats myocarditis,Pfizer’s Covid-19 vaccines are up 77% in the US,0.0877
"Amazon sprays its shipping boxes with ""toxic pesticides""",Amazon sprays its boxes with toxic pesticides,0.6932
Image shows a 'Spanish Dancer Jellyfish',This is a jellyfish found in the Tami Islands atoll near Papua New Guinea.,0.1282
Salk Institute said vaccines cause illnesses; UBC said lockdowns have no benefit,Manitoba govt tests PCR test has 56% false positives,0.0
America had the lowest unemployment rate in history a year ago in April 2020,"""A year ago we had the lowest unemployment in history without using taxpayers money.""",0.6017
A dancer is nominated by the Pakistani government for the Pakistan Medical Commission,Photo of Pakistani doctor Roshuna Zafar,0.0407
Road sign with anti-Muslim message at the India-Pakistan border,Indian Army is lit,0.0
Nepal shoots down intruding Indian fighter jet,Nepal shoots down fighter jet violating Nepalese airspace,0.6817
Trudeau is part of global 'Great Reset' conspiracy,Trudeau said pandemic is the excuse for a Great Reset,0.1648
Video shows Russian tank torched in Ukraine conflict,Ukrainian citizens destroying Russian tanks with Molotov cocktails,0.2344
"An image of construction workers protesting in Melbourne, Australia",Australia’s state media blackout out and Facebook lives blocked on 90% of Victoria,0.0943
Real photo of India's Golden Temple at Amritsar with floating sky lanterns,"Photo of golden temple in Amritsar, India",0.4089
SADS is an adverse effect of the Covid-19 vaccine,SADS is a group of adverse reactions to the Covid-19 vaccine,0.6899
George Floyd's death was staged,“The Floyd event was staged.”,0.4122
Cap on when Nancy Pelosi got Covid-19 vaccine,This is a witch,0.0
COVID-19 guidelines from India's top medical research body ICMR,ICMR New Delhi,0.0538
Novel coronavirus exposure at a doctor's office in this Australian town,A Facebook post claims a group of 3.8 million people attended a rally in Rutherford.,0.0806
Image of gospel preacher executed in Syria,This man was sentenced to death in Syria for preaching gospel,0.3453
Deaths of Hank Aaron and Marvelous Marvin Hagler were linked to COVID-19 vaccine,"Dr. Umar returns to Boston(MA) on Saturday April 10th@8am-8pm, “Know Your School Rights Black Parent BootKamp” Good Shepherd Church.",0.0345
Infrastructure bill includes 61 percent tax on assets after a person dies,Infrastructure bill includes a “total value of your accumulated assets.”,0.3686
This video shows landslide in north-eastern India.,Video shows flooding after cyclone in India,0.3995
A photo shows a Time magazine cover comparing Vladimir Putin to Adolf Hitler,The claim: Image shows Putin shattered Europe's Dreams,0.0787
A video is showing footage from an explosion in a Saudi Aramco refinery,Saudi Arabian oil tanker explodes,0.041
"Ghanaian cedi now 59,000 to the US dollar",Ghana’s cedi worth $1,0.0633
A car stripped of its parts in three hours in Johannesburg,Video shows man stripping his car after being stripped,0.0926
Trump author of speech disparaging Africans and Arabs,"Donald Trump said ""don't believe in nothing else but making noise, dancing, marrying many wives, alcoholism, witchcraft, indulging in sex, pretending in church, jealousy, etc.""",0.0459
"A picture of some protestors carrying some placards is doing the rounds on the internet. The text on one of the placards read, 'We are not Arabs, to kill us and keep silent'.",Australians are not allowed to shoot down protesters,0.0902
Trump reinstated to Facebook,Donald Trump restored Facebook and Instagram,0.2381
Photo of Tanzanian president Samia Suluhu Hassan and her daughter,Tanzanian president Samia Suluhu Hassan and her daughter,0.8155
"Nancy Pelosi said, ""If impeachment fails, I will resign immediately.""",Pelosi will resign if impeachment is successful,0.3141
Video shows impressive Pakistani paratroopers,Pakistani army zindabad,0.1042
Video shows Typhoon Hagibis hitting Japanese island,Video shows Typhoon Hagibis hit Japan,0.7217
"More than 300,000 infected with novel coronavirus in China",Chinese nationals in China are infected with novel coronavirus,0.6543
A photo shows Ukrainians praying in the snow 'in this phase of war danger',Ukrainians pray in the snow ahead of the Russian invasion,0.3525
List of Biden accomplishments is true,Joe Biden was a war hero,0.0833
Man in Pompeii killed after being struck by a large slab of stone,Looney Tunes Cartoon Pictures,0.0
Simplot plans to close down Australian frozen vegetable manufacturing,The only Australian producer of frozen Australian grown vegetables (Simplot Australia) whose brands are Birdseye and Edgells has moved their plants to New Zealand in order to capture Chinese vegetables market.,0.2174
Missile caused Beirut blast,Video shows Beirut missile attack,0.3659
This study proves mRNA vaccines dramatically increase risk of developing heart diseases,mRNA vaccines increase risk of developing heart diseases from 11% to 25%,0.6506
Instagram page showing antifa symbol belongs to Illinois shooting suspect,shooter is a Liberal,0.0
"Members of ""World Doctors Alliance"" make multiple claims about severity of Covid-19 pandemic, including that it's a ""normal flu""",South African court said there is no lawsuits in South Africa,0.0
Enfamil and Similac will send parents free baby formula,If you call Enfamil or Similac they will notify the state you can’t find any for your child.,0.1471
Face masks can cause fungal lung infections,The claim: Credit cards are being rolled out,0.0
First time Kenyans or Nigerians heard music,Kenyans first heard music in 1932,0.4574
Photo of Philippine mayor Isko Moreno Domagoso taken after testing positive for Covid-19,Isko Moreno was admitted at the LGU-Manila run sta. ana hospital.,0.1966
How To Hit A Woman So No One Knows was Googled 163 million times during 2020,Domestic violence hotlines are free and can call 800-799-sAFE,0.0
"Says Joe Biden canceled the Keystone pipeline because Warren Buffett ""donated $58 million"" to his campaign.",Warren Buffet donated $58 million to Joe Biden's campaign,0.4308
Photo shows 2021 protest against vaccine passports in Paris,French protesters tried to gain access to government buildings,0.0556
Face masks are dangerous for children,100% of children’s future is linked to vaccines,0.0769
Ballots received by error are proof of widespread voter fraud,This video shows a woman being harmed by COVID-19 vaccines,0.05
JNU Student Union president Aishe Ghosh faked a hand injury,This photo shows a wound in the left hand,0.101
Billie Eilish cried because she wanted to be poor,"Bill Gates said when she got rich, she wanted to be poor",0.5298
News Headlines on white supremacy links to GameStop stock rise,White supremacist internet gamers buy Gamestop stocks to purposefully bankrupt Jewish Hedge Fund on International Holocaust Remembrance Day,0.3444
Photos of a diamond-encrusted airplane of Emirates,Photos show Emirates diamond-encrusted airplane,0.4642
Indian Vedic mantras were chanted at the White House before the new American President entered office.,Video shows Indian nationals chanting in White House,0.196
Genuine Time magazine cover featuring Russian President Putin with Hitler's moustache,The claim: Image shows Putin shattered Europe's Dreams,0.0847
Ukrainian soldiers saying goodbye to their partners before going to war,Photo shows US soldier crying after the invasion of Ukraine,0.0459
rolonged use of face masks causes hypoxia -- a lack of oxygen in the body.,Wearing face masks reduces oxygen consumption,0.1704
Biden says will raise taxes,"""Biden's proposed tax increases are more than double what Hillary Clinton proposed and Biden’s tax hike would be the largest in recent history.""",0.1351
Photo shows a lightning phenomenon in Venezuela,Photo shows lightning in Venezuela,0.6559
Video shows Nigeria's ambassador on way to discuss travel ban with Donald Trump,Nigeria ambassador to the US arrives to Washington DC to discuss travel ban,0.4047
Israeli soldier arrests child during Gaza fighting in June 2021,Israeli soldier tries to arrest a Palestinian child by sitting on him and suffocating him,0.3006
"Donald Trump's letter to Joe Biden said, ""You know I won.""",Trump wrote a letter to Joe Biden,0.3205
EU warns Uganda's Bobi Wine over swearing-in ceremony,European Union delegation to Uganda,0.0581
This photo shows Canadian PM Trudeau joining a sit-in in support of Indian farmers.,Trudeau sits in support of Indian farmers,0.4147
Video of raunchy marriage custom in Namibia,A man seduced by his sisters in Namibia,0.2641
Pakistan's advisor to PM on Finance dances after imposing new taxes,Video of Muslims protesting against taxes in Saudi Arabia,0.0427
Moon and Mars will appear of equal size in night sky,Mars will appear on Aug. 27,0.2804
Data disprove the effect of climate change on wildfires,The claim: Climate change is making wildfires more frequent and larger,0.3394
"The response to COVID-19 is overblown compared to swine flu, H1N1 virus",Only 56 million cases of COVID-19 have gone to the US.,0.1163
Australian TV network 7 News predicts COVID-19 case numbers for Victoria one day in advance,Today is only Saturday morning,0.0
Zimbabwe Deputy Minister of Defence Victor Matemadanda warns US to back off Iran,"If US doesn't remove sanctions imposed against Zimbabwe, k47 which were used against Smith government will be used to fight US",0.1071
a photo collage showing a young black man posing with guns depicts Jacob Blake,75% of Jacob Blake tweeted,0.142
"""A year ago we had the lowest unemployment in history without using taxpayers money.""",“A year ago we had the lowest unemployment in history without using taxpayers money.”,0.8822
Doctors at the National Taiwan University Hospital found that COVID-19 is a combination of AIDS and SARS,Body surgery shows Covid-19 as a combination of SARS and AIDS,0.3491
This is a genuine photo of a Philippine opposition senator sleeping during a congressional hearing,Video shows Filipinos protesting against COVID-19 vaccines,0.0
rolonged use of face masks causes hypoxia -- a lack of oxygen in the body.,Wearing masks causes hypoxia,0.1989
COVID-19 vaccine will kill 50 million Americans,US scientist says 50 million Americans may die,0.4147
Pro-Pakistan slogans shouted outside an airport in India,Pakistan Zindabad slogans raised in Silchar Airport,0.1899
Vaccines are not aimed at protecting the unvaccinated from Covid-19,Covid-19 doesn’t work because you’re not vaccinated,0.1485
Video shows flooding at Hyderabad airport in India in 2020,Video of Telangana airport runway,0.1053
video of monkeys in an Indian hospital,Monkeys molesting patients in Zimbabwe,0.1471
"""The coronavirus is no more deadly or dangerous than seasonal flu""",Covid-19 is no more dangerous than flu,0.4536
The collapsed 'Jamnagar-Junagarh highway bridge' was inaugurated by PM Modi three months ago.,Jamnagar-Junagadh highway bridge collapsed,0.1839
Tanzanian president and co-wives at a family meeting with their husband,Tanzanian president and co-wives at a family meeting chaired by their husband,0.8973
Positive test for COVID-19 same as having had a common cold.,CDC says you might have antibodies from a virus,0.0855
Army takes over from police to end unrest in South Africa,South Africa Police Services to stand down,0.2978
Images show scenes of recent unrest in Nigeria's southeast,Nigerian military invaded Orlu and destroyed residential houses,0.0
"""Myanmar used Dominion Voting Systems.""",The claim: Turkey bushfires were discovered in the Philippines,0.0
Video shows deer on beach during COVID-19 lockdown,Photos show a beach deserted in Spain,0.1266
"Pete Buttigieg said he ""doesn't care"" if people lose the insurance plans they have through their jobs",“180 million Americans lose their health insurance plans because of Medicare for All.”,0.161
"Census data ""called into question the official vote tally from the 2020 election""",Census Bureau confirms conflict in total number of voters in 2010 election,0.068
Iranian TV censors women's sports,Iranian TV censorship of women's track and field competition,0.5859
Billionaire called helicopter to save him from traffic,Video shows trafficking at ORE in May 2021,0.0
Halyna Hutchins' next project was a documentary about Hollywood pedophile rings,Halyna Hutchins' next project was documentary on Hollywood pedophile rings,0.829
Capsule used in Karapitiya hospital cures Covid-19 in Sri Lanka,Video of Yogi Adityanath singing ‘Khalistan’,0.0
A genuine image of Steve Irwin and Tupac together.,Steve Irwin and Kamala Harris grinning,0.3067
Marijuana bill features hidden gun control policy,“New York taxpayers will be disqualified from buying firearm.”,0.0
Image shows the arrest of a TPLF leader,A video of a man being thrashed by the public during the ongoing protests against the COVID-19 vaccines.,0.2808
Overseas airlines considering barring vaccinated travellers,Countries are trying to ban people who have been vaccinated from flying,0.0758
"Photo shows 1.3 million protestors against COVID-19 restrictions in Berlin, Germany",Australians are happy to wear a muzzle and sit in front of TV,0.0413
White House employees are exempt from government vaccine mandate,White House employees are demanding vaccine mandate,0.6692
Hindu woman raped and burnt alive by Muslim man in India's Rajasthan,Photo of a young man being thrashed in Rajasthan,0.119
Ghana leads Africa in COVID-19 testing per million people,Akufo-Addo praises Nigerian president,0.0
Comedian Tim Allen wrote pro-Trump post,Trump's wall cost less than the Obamacare website,0.0
Robredo wrongly computed the number of people allowed during her NGO launch,Leni Robredo said every hour mag a-accommodate 400 for how many hours Mamamin?,0.041
Street poster about coronavirus authorised by Extinction Rebellion,Photos show migrants flying over the Bahamas during the COVID-19 pandemic,0.0
Jail inmate requests sentence extension due to Sydney's lockdown,Australia’s new lockdown has no basis in science and has been proven to fail time and again in Queensland.,0.0893
Covid-19 vaccines kill more people then they save,Covid-19 vaccines kill more people than boosters,0.6304
Plane crash-lands on Nigerian highway,Video shows a plane crashing in Nigeria,0.0962
Video of filthy Hajj flight from India,Video of Haj flight from India,0.8535
Pharrell Williams and Blade Nzimande are the same age,Pharrell Williams is the same age as Bill Gates,0.5378
Biafran flag on Nigerian president's vehicle,Nigerian flag spotted on a ferry in Nigeria,0.2113
Video shows Guinean President Alpha Conde attacking a minister,Guinea’s president beats his chief of staff,0.0556
Image of a large crowd is of a Trump rally in Florida,Photo shows crowd at a Florida rally,0.1739
Scenes before Modi started plogging at Mamallapuram beach.,Video shows Indian Prime Minister Narendra Modi cleaning a beach in India,0.1075
Face masks are aimed at protecting the wearer from COVID-19,Wearing a mask creates a pH imbalance in blood,0.0505
Images show reporter beaten by Ugandan police during Bobi Wine rally,Ugandan journalist beaten for covering Bobi Wine route,0.3477
BC Minister of Health warned against asbestos poisoning when using glory holes,The British Columbia government issued a warning to people who plan on using old pieces of gypsum boards to make their own glory holes.,0.2797
Queen Elizabeth II bows before Ethiopian Emperor Haile Selassie,Queen Elizabeth II bows before Ethiopian Queen,0.6692
Inshorts screenshot on Kerala couple refusing ambulance with Hanuman sticker,Kerala couple refusing an ambulance with saffron Hanuman sticker,0.6792
"Movie ""I Am Legend"" is set in 2012",Video shows people turning into zombies in 2021,0.051
Video shows flying trains in China,Video shows floating train in China,0.8067
This photo shows Israeli products being banned in Malaysia,Israil products are made by Malaysia,0.2937
