ground_truth_claim,generated_claim,meteor_score
Nigerian vice president attacked while seeking medical care in Germany,A claim that Nigerian Senate Vice President was beaten by his compatriots who demanded his return to Nigeria.,0.2345
Biden kneels in front of George Floyd's son,Biden kneels in front of George Floyd's son,0.9993
"""U.S. Census Bureau confirms huge conflict in total number of voters in 2020 election.""",Census Bureau confirms conflict in total number of voters in 2020 election,0.7256
Image shows snake that swallowed a rifle,Snakes eat human food,0.0746
"Says Marjorie Taylor Greene said, ""People are dying who have never died before.""","Rep. Marjorie Taylor Greene said, 'people are dying who have never died before'",0.7126
New York Statue of Liberty wrapped in Ukrainian flag,The Statue of Liberty was repainted in the Ukrainian flag,0.6181
Elderly Chinese couple hold hands in hospital after they were infected with coronavirus,Photos show the true nature of coronavirus and other illnesses,0.0394
International Civil Aviation Organisation bars Pakistan from issuing pilots licences,International Civil Aviation Organisation bars Pakistan from issuing pilots licences,0.9995
Yogi Adityanath provides for orphan child at Diwali celebrations in 2019,Yogi Adityanath visited a crying child at Diwali celebrations in 2021,0.6289
Photos show Kenyan police arresting Nnamdi Kanu,Kenyan Special Police stormed an aircraft carrying Nnamdi Kanu,0.4384
"Covid-19 vaccine recipients are spreading variants and ""creating"" mutations",Covid-19 vaccines increase risk of ICU admittance,0.1769
New Australian law passed in Parliament which revokes licenses from drivers who touch their phone,New Australian law passed in Parliament which revokes licenses from drivers who touch their phone,0.9999
Video shows Ukrainian refugee boy walking in Poland alone,Image shows a Ukrainian boy crying and walking alone amid the ongoing Ukraine-Russia crisis,0.2632
Photo shows Keystone Pipeline compared to a lithium mine,Photos show the Keystone pipeline and a lithium mine,0.7472
"$100B contact tracing bill ""is about controlling/tracking population, not about coronavirus.""","Under a proposed legislation, ""Big Government will be responsible for tracking citizens' movements as they relate to COVID-19 mitigation efforts — even sending health bureaucrats to ‘individuals’ residences, as necessary.""",0.1734
Image shows New Zealand PM Jacinda Ardern hugging gang member,Image shows New Zealand PM Jacinda Ardern hugging gang member,0.9995
Finland is moving military equipment to the eastern border with Russia,Finland is moving military equipment to the Eastern border,0.8328
Sri Lanka's LPL ranked as biggest global sporting event of 2020,Washington Post Rankings 2020 Cricket World Cup as the Biggest Global Event of The Year,0.4654
"Image of Sleeping Lady Mountain near Anchorage, Alaska",This is a photo of sleeping lady mountain taken from a drone,0.4267
Images show artwork created using fireflies,Images show artwork created using fireflies,0.9977
"Fake cashew nuts made from flour and chemicals in Kerala state, India","Fake cashew nuts made from flour and chemicals in Kerala state, India",0.9998
US government to provide free crack pipes to drug users,"Biden Administration To Fund Crack Pipes, Heroin",0.2608
Suicides up 200% since lockdown,Suicides up 200% since lockdown,0.9977
Indian journalist Rana Ayyub arrested at protest,Pakistani PM Narendra Modi praises Jinnah in a speech,0.0
"Video shows lightning strike in Montana, the US",Video shows lightning strike in northwest Missouri,0.5659
Los Angeles county suspended cremation of Covid-19 fatalities,Sri Lankan authorities cremate inhumanely,0.0649
Ice Cube and 50 Cent wear Trump hats in a photo of the two rapper/actors,Photo shows rappers Ice Cube and 50 Cent wearing pro-Trump hats,0.5335
A photo shows Ukrainians praying in the snow 'in this phase of war danger',Ukrainians pray in the snow ahead of Russian invasion,0.409
Volcanoes emit more CO2 than man made emissions,"Says Mount Saint Helen's volcanic eruption emits more toxic fumes, carbon dioxide, carbon monoxide, etc. into the atmosphere than all of mankind's pollution from day one to now.",0.295
WhatsApp video hacks your phone in 10 seconds,WhatsApp video hacks your phone in 10 seconds,0.999
Seniors can get their Medicare Flex Card for a limited time,"""Older Americans are taking advantage of the new Medicare Flex Card.""",0.3947
Marcos-era coins back in circulation in the Philippines,Photo shows new face of Philippine coins,0.1266
A Facebook post about an anti-COVID-19 restrictions protest in Berlin uses a photograph that is not from the protest but instead from a Swiss dance party held in 2019.,Australia’s prime minister imposed a mandatory mask mandate in a country where many people are content to sit and watch TV.,0.068
Pfizer drug Vyndamax treats myocarditis,U.S. sales of Pfizer’s ivermectin drug up 77%,0.1786
"Amazon sprays its shipping boxes with ""toxic pesticides""",Amazon sprays its boxes with toxic pesticides that are harmful to cats,0.6593
Image shows a 'Spanish Dancer Jellyfish',Image shows a 'Spanish Dancer Jellyfish',0.9985
Salk Institute said vaccines cause illnesses; UBC said lockdowns have no benefit,Salk Institute said vaccines cause illnesses; UBC said lockdowns have no benefit,0.9998
America had the lowest unemployment rate in history a year ago in April 2020,"""$4 trillion jobs plan"" unnecessary because 2020 unemployment was lowest ever without it",0.1056
A dancer is nominated by the Pakistani government for the Pakistan Medical Commission,Pakistani government appoints a dancer to the medical committee,0.4056
Road sign with anti-Muslim message at the India-Pakistan border,Video of Indian army firing at Muslims during COVID-19 lockdown,0.0549
Nepal shoots down intruding Indian fighter jet,Nepal shot down intruding Indian fighter jet,0.9985
Trudeau is part of global 'Great Reset' conspiracy,Trudeau is part of global 'Great Reset' conspiracy,0.9993
Video shows Russian tank torched in Ukraine conflict,Video shows Ukrainians destroying Russian tanks amid ongoing Ukraine-Russia conflict,0.5439
"An image of construction workers protesting in Melbourne, Australia","An image of a plane parked on a beach in Melbourne, Australia",0.6717
Real photo of India's Golden Temple at Amritsar with floating sky lanterns,Video of floating sky lanterns over Amritsar temple,0.4089
SADS is an adverse effect of the Covid-19 vaccine,People suddenly dying in their sleep after getting the COVID-19 vaccine.,0.3166
George Floyd's death was staged,Police shooting at the Floyd concert was staged.,0.4056
Cap on when Nancy Pelosi got Covid-19 vaccine,Image shows Bill Gates tweeted about vaccines in the food supply,0.0602
COVID-19 guidelines from India's top medical research body ICMR,Important health advice given by ICMR,0.0521
Novel coronavirus exposure at a doctor's office in this Australian town,A Facebook post claims to show a noticeboard for a community Facebook group in Australia.,0.0806
Image of gospel preacher executed in Syria,Man sentenced to death in Syria for preaching the gospel,0.3501
Deaths of Hank Aaron and Marvelous Marvin Hagler were linked to COVID-19 vaccine,Dr. Umar Johnson is returning to Boston for a “Know Your School Rights BootKamp.”,0.0373
Infrastructure bill includes 61 percent tax on assets after a person dies,Congress' Infrastructure Act Includes A Death Tax On Wealth And Estates For Every American,0.3024
This video shows landslide in north-eastern India.,Video shows a landslide in Meghalaya,0.4808
A photo shows a Time magazine cover comparing Vladimir Putin to Adolf Hitler,"Polish media reported that Russian President Vladimir Putin has ordered the deportation of 800,000 Ukrainians.",0.1921
A video is showing footage from an explosion in a Saudi Aramco refinery,Video shows blast at Saudi Aramco refinery in JeM,0.4056
"Ghanaian cedi now 59,000 to the US dollar","Ghanaian cedi now 59,000 to the US dollar",0.999
A car stripped of its parts in three hours in Johannesburg,Images show car after Johannesburg robbery,0.0952
Trump author of speech disparaging Africans and Arabs,Trump author of speech disparaging Africans and Arabs,0.999
"A picture of some protestors carrying some placards is doing the rounds on the internet. The text on one of the placards read, 'We are not Arabs, to kill us and keep silent'.","Video shows Antifa marching in Washington, D.C.",0.0427
Trump reinstated to Facebook,Donald Trump allowed back on Facebook and Instagram,0.2273
Photo of Tanzanian president Samia Suluhu Hassan and her daughter,Tanzania’s president and first female head of state,0.15
"Nancy Pelosi said, ""If impeachment fails, I will resign immediately.""","Pelso said she would resign if impeachment ""fails""",0.3308
Video shows impressive Pakistani paratroopers,Video of Pakistani army taking down Taliban in Zindabad,0.1852
Video shows Typhoon Hagibis hitting Japanese island,Photo shows Typhoon Hagibis in Japan in 2019,0.4147
"More than 300,000 infected with novel coronavirus in China","More than 300,000 infected with novel coronavirus in China",0.9993
A photo shows Ukrainians praying in the snow 'in this phase of war danger',Ukrainians pray in the snow ahead of Russian invasion,0.409
List of Biden accomplishments is true,List of Biden accomplishments is true,0.9977
Man in Pompeii killed after being struck by a large slab of stone,These 17 Hilarious Images Feel More Like A Looney Tunes Cartoon Than Real Life,0.0382
Simplot plans to close down Australian frozen vegetable manufacturing,Simplot plans to close down Australian frozen vegetable manufacturing,0.9993
Missile caused Beirut blast,"Photo shows missile attack in Beirut, Lebanon",0.3409
This study proves mRNA vaccines dramatically increase risk of developing heart diseases,mRNA vaccines increase risk of developing heart diseases from 11% to 25%,0.6506
Instagram page showing antifa symbol belongs to Illinois shooting suspect,Instagram profile linking Illinois shooting suspect to antifa is fake,0.5111
"Members of ""World Doctors Alliance"" make multiple claims about severity of Covid-19 pandemic, including that it's a ""normal flu""",Lawsuit against Zambian President Cyril Ramaphosa,0.0
Enfamil and Similac will send parents free baby formula,Enfamil and Similac will send parents free baby formula,0.9993
Face masks can cause fungal lung infections,Nigerian president orders arrest of foreign journalists,0.0
First time Kenyans or Nigerians heard music,First time Kenyans or Nigerians heard music,0.9985
Photo of Philippine mayor Isko Moreno Domagoso taken after testing positive for Covid-19,Komoreno arrested for violating COVID-19 quarantine protocols,0.0806
How To Hit A Woman So No One Knows was Googled 163 million times during 2020,US news shows how to hit a woman without hurting her,0.3213
"Says Joe Biden canceled the Keystone pipeline because Warren Buffett ""donated $58 million"" to his campaign.",Warren Buffet donated $58 million to Joe Biden's campaign,0.4308
Photo shows 2021 protest against vaccine passports in Paris,Images show protesters breaching Covid-19 vaccine restrictions in France,0.2222
Face masks are dangerous for children,There are more COVID-19 cases now than before there was a vaccine,0.1515
Ballots received by error are proof of widespread voter fraud,Various scams using prepaid gift cards to lure customers,0.0
JNU Student Union president Aishe Ghosh faked a hand injury,Jawaharlal Nehru University student union President Aishe Ghosh fakes arm injruy,0.5927
Billie Eilish cried because she wanted to be poor,Billie Eilish said she wanted to be poor so she could relate to her fans,0.5963
News Headlines on white supremacy links to GameStop stock rise,News Headlines on white supremacy links to GameStop stock rise,0.9995
Photos of a diamond-encrusted airplane of Emirates,Photos of a diamond-encrusted airplane of Emirates,0.9985
Indian Vedic mantras were chanted at the White House before the new American President entered office.,Vedic chanting in White House on the first day of office of the new American President.,0.5637
Genuine Time magazine cover featuring Russian President Putin with Hitler's moustache,"Polish media reported that Russian President Vladimir Putin has ordered the deportation of 800,000 Ukrainians.",0.2545
Ukrainian soldiers saying goodbye to their partners before going to war,Picture of a child injured in the attacks on Ukraine,0.0
rolonged use of face masks causes hypoxia -- a lack of oxygen in the body.,Face masks cause hypoxia -- a lack of oxygen in the body.,0.8278
Biden says will raise taxes,Says Joe Biden’s tax increases would be “the largest in recent history.”,0.2419
Photo shows a lightning phenomenon in Venezuela,Photo shows lightning over Catatumbo River in Venezuela,0.6282
Video shows Nigeria's ambassador on way to discuss travel ban with Donald Trump,Nigeria ambassador to the US discusses travel ban with Donald Trump,0.6281
Israeli soldier arrests child during Gaza fighting in June 2021,This video shows an Israeli soldier assaulting a Palestinian boy,0.1875
"Donald Trump's letter to Joe Biden said, ""You know I won.""",This is a real quote from Joe Biden,0.1234
EU warns Uganda's Bobi Wine over swearing-in ceremony,EU blocks Ugandan opposition leader's swearing-in ceremony,0.3546
This photo shows Canadian PM Trudeau joining a sit-in in support of Indian farmers.,Video of Canadian PM Trudeau joining a sit-in in support of Indian farmers,0.743
Video of raunchy marriage custom in Namibia,Namibian groom seduced by his sisters,0.0
Pakistan's advisor to PM on Finance dances after imposing new taxes,Video shows Egyptian politician Hafeez Sheikh praising Imran Khan,0.0
Moon and Mars will appear of equal size in night sky,Mars Will Look Like A Second Moon On August 27,0.344
Data disprove the effect of climate change on wildfires,Wildfires are not caused by climate change,0.2904
"The response to COVID-19 is overblown compared to swine flu, H1N1 virus",The response to COVID-19 is overblown compared to swine flu,0.787
Australian TV network 7 News predicts COVID-19 case numbers for Victoria one day in advance,Channel 7 announced it was Saturday morning,0.0352
Zimbabwe Deputy Minister of Defence Victor Matemadanda warns US to back off Iran,Zimbabwe Deputy Minister of Defence Force Victor Matemadanda threatens to use K47s in war against US,0.647
a photo collage showing a young black man posing with guns depicts Jacob Blake,These photos show Jacob Blake posing with a gun.,0.4642
"""A year ago we had the lowest unemployment in history without using taxpayers money.""","""$4 trillion jobs plan"" unnecessary because 2020 unemployment was lowest ever without it",0.1479
Doctors at the National Taiwan University Hospital found that COVID-19 is a combination of AIDS and SARS,Doctors at the National Taiwan University Hospital found that COVID-19 is a combination of AIDS and SARS,0.9999
This is a genuine photo of a Philippine opposition senator sleeping during a congressional hearing,Clip shows Philippine president Rodrigo Duterte putting a bullet in a cocaine user's pocket,0.1
rolonged use of face masks causes hypoxia -- a lack of oxygen in the body.,rolonged use of face masks causes hypoxia -- a lack of oxygen in the body.,0.9999
COVID-19 vaccine will kill 50 million Americans,Dr. Anthony Fauci said 50 million Americans may die from COVID-19,0.5068
Pro-Pakistan slogans shouted outside an airport in India,Pro-Pakistan slogans shouted outside an airport in India,0.999
Vaccines are not aimed at protecting the unvaccinated from Covid-19,Vaccines are not aimed at protecting the unvaccinated from Covid-19,0.9995
Video shows flooding at Hyderabad airport in India in 2020,Video shows flooding at Hyderabad airport.,0.6171
video of monkeys in an Indian hospital,Monkeys snatching patients from a hospital in Zimbabwe,0.2113
"""The coronavirus is no more deadly or dangerous than seasonal flu""",Doctors have admitted that Covid-19 is more dangerous than the flu.,0.3305
The collapsed 'Jamnagar-Junagarh highway bridge' was inaugurated by PM Modi three months ago.,Jamnagar-Junagadh highway bridge collapsed within three months of inauguration by PM Modi.,0.6334
Tanzanian president and co-wives at a family meeting with their husband,Tanzanian president and co-wives at a family meeting with their husband,0.9996
Positive test for COVID-19 same as having had a common cold.,PCR tests are useless for detecting Covid-19,0.1304
Army takes over from police to end unrest in South Africa,South Africa’s military takeover,0.1786
Images show scenes of recent unrest in Nigeria's southeast,Nigerian military invades Orlu in January 2021,0.0515
"""Myanmar used Dominion Voting Systems.""",Yangon National Park is under the ownership of a Myanmar national.,0.119
Video shows deer on beach during COVID-19 lockdown,These photos show Spanish beaches without people,0.1266
"Pete Buttigieg said he ""doesn't care"" if people lose the insurance plans they have through their jobs",“180 million Americans lose health insurance plans they get through their jobs because of Medicare for All.”,0.3969
"Census data ""called into question the official vote tally from the 2020 election""",Census Bureau confirms conflict in total number of voters in 2020 election,0.1738
Iranian TV censors women's sports,Iranian TV censors women's track and field competition,0.7905
Billionaire called helicopter to save him from traffic,Video shows man being pulled up by helicopter during COVID-19 lockdown in Nigeria,0.0588
Halyna Hutchins' next project was a documentary about Hollywood pedophile rings,“Halyna Huchins’ next project was documentary on Hollywood pedophile rings.”,0.6148
Capsule used in Karapitiya hospital cures Covid-19 in Sri Lanka,Photo of a Muslim shrine located at old Delhi railway station platform,0.0
A genuine image of Steve Irwin and Tupac together.,This photo shows rappers Tupac and Steve Irwin together,0.3758
Marijuana bill features hidden gun control policy,Marijuana bill features hidden gun control policy,0.9985
Image shows the arrest of a TPLF leader,Video shows the recent arrest of Red commando of Jintu,0.3849
Overseas airlines considering barring vaccinated travellers,Countries are trying to ban people that have been vaccinated from flying,0.0758
"Photo shows 1.3 million protestors against COVID-19 restrictions in Berlin, Germany",Australia’s prime minister imposed a mandatory mask mandate in a country where many people are content to sit and watch TV.,0.0379
White House employees are exempt from government vaccine mandate,White House employees are exempt from vaccine mandate,0.8919
Hindu woman raped and burnt alive by Muslim man in India's Rajasthan,This photo shows a road accident caused by the Covid-19 vaccines,0.0391
Ghana leads Africa in COVID-19 testing per million people,Nigeria’s president discusses COVID-19 measures,0.0568
Comedian Tim Allen wrote pro-Trump post,Actor Tim Allen said the Obamacare website cost more than the border wall,0.2799
Robredo wrongly computed the number of people allowed during her NGO launch,Leni Robredo said 400 people can be accommodated in 24 hours,0.084
Street poster about coronavirus authorised by Extinction Rebellion,Greenpeace USA issued guidelines for vegans,0.0
Jail inmate requests sentence extension due to Sydney's lockdown,Image shows Australian Prime Minister Scott Morrison describing COVID-19 lockdowns,0.05
Covid-19 vaccines kill more people then they save,“The vaccines kill more people than they save.”,0.7095
Plane crash-lands on Nigerian highway,"Plane crash in Ikeja, Nigeria",0.098
Video of filthy Hajj flight from India,Video of a Haj flight from India,0.8413
Pharrell Williams and Blade Nzimande are the same age,Social media posts share a picture that purports to show Blade Nzimande drinking alcohol at a party with Pharrell Williams.,0.3676
Biafran flag on Nigerian president's vehicle,A flag was just spotted on a Ugandan road,0.1389
Video shows Guinean President Alpha Conde attacking a minister,This video shows Guinean president beating his chief of staff,0.4361
